time,temperature
2025-12-15T00:00,22.7
2025-12-15T01:00,22.3
2025-12-15T02:00,22.0
2025-12-15T03:00,21.5
2025-12-15T04:00,21.1
2025-12-15T05:00,20.8
2025-12-15T06:00,18.8
2025-12-15T07:00,18.4
2025-12-15T08:00,17.7
2025-12-15T09:00,17.1
2025-12-15T10:00,17.1
2025-12-15T11:00,17.8
2025-12-15T12:00,19.1
2025-12-15T13:00,20.5
2025-12-15T14:00,22.3
2025-12-15T15:00,23.7
2025-12-15T16:00,25.4
2025-12-15T17:00,27.2
2025-12-15T18:00,27.7
2025-12-15T19:00,27.2
2025-12-15T20:00,26.9
2025-12-15T21:00,26.6
2025-12-15T22:00,24.8
2025-12-15T23:00,23.4
2025-12-16T00:00,21.5
2025-12-16T01:00,19.9
2025-12-16T02:00,18.6
2025-12-16T03:00,17.6
2025-12-16T04:00,16.7
2025-12-16T05:00,15.8
2025-12-16T06:00,15.0
2025-12-16T07:00,14.4
2025-12-16T08:00,13.9
2025-12-16T09:00,13.4
2025-12-16T10:00,14.6
2025-12-16T11:00,16.3
2025-12-16T12:00,18.0
2025-12-16T13:00,19.9
2025-12-16T14:00,21.9
2025-12-16T15:00,22.9
2025-12-16T16:00,23.9
2025-12-16T17:00,24.7
2025-12-16T18:00,24.8
2025-12-16T19:00,24.9
2025-12-16T20:00,24.6
2025-12-16T21:00,24.0
2025-12-16T22:00,23.0
2025-12-16T23:00,22.0
2025-12-17T00:00,20.1
2025-12-17T01:00,18.7
2025-12-17T02:00,17.8
2025-12-17T03:00,16.8
2025-12-17T04:00,16.3
2025-12-17T05:00,15.8
2025-12-17T06:00,16.1
2025-12-17T07:00,15.3
2025-12-17T08:00,14.9
2025-12-17T09:00,14.3
2025-12-17T10:00,15.4
2025-12-17T11:00,17.7
2025-12-17T12:00,20.2
2025-12-17T13:00,22.8
2025-12-17T14:00,25.0
2025-12-17T15:00,26.8
2025-12-17T16:00,28.4
2025-12-17T17:00,29.6
2025-12-17T18:00,30.5
2025-12-17T19:00,30.8
2025-12-17T20:00,30.7
2025-12-17T21:00,30.1
2025-12-17T22:00,29.2
2025-12-17T23:00,27.8
2025-12-18T00:00,26.2
2025-12-18T01:00,25.1
2025-12-18T02:00,24.3
2025-12-18T03:00,23.6
2025-12-18T04:00,22.9
2025-12-18T05:00,22.2
2025-12-18T06:00,21.3
2025-12-18T07:00,20.4
2025-12-18T08:00,19.7
2025-12-18T09:00,19.3
2025-12-18T10:00,20.1
2025-12-18T11:00,21.8
2025-12-18T12:00,24.3
2025-12-18T13:00,26.7
2025-12-18T14:00,29.5
2025-12-18T15:00,31.8
2025-12-18T16:00,33.5
2025-12-18T17:00,34.7
2025-12-18T18:00,35.4
2025-12-18T19:00,35.6
2025-12-18T20:00,35.3
2025-12-18T21:00,34.7
2025-12-18T22:00,33.8
2025-12-18T23:00,32.6
2025-12-19T00:00,31.2
2025-12-19T01:00,29.4
2025-12-19T02:00,27.5
2025-12-19T03:00,26.0
2025-12-19T04:00,25.2
2025-12-19T05:00,24.7
2025-12-19T06:00,24.2
2025-12-19T07:00,23.2
2025-12-19T08:00,22.1
2025-12-19T09:00,21.7
2025-12-19T10:00,22.6
2025-12-19T11:00,24.3
2025-12-19T12:00,26.2
2025-12-19T13:00,28.5
2025-12-19T14:00,31.0
2025-12-19T15:00,32.9
2025-12-19T16:00,34.0
2025-12-19T17:00,34.6
2025-12-19T18:00,34.6
2025-12-19T19:00,34.0
2025-12-19T20:00,33.0
2025-12-19T21:00,31.5
2025-12-19T22:00,29.5
2025-12-19T23:00,27.1
2025-12-20T00:00,25.2
2025-12-20T01:00,24.3
2025-12-20T02:00,23.9
2025-12-20T03:00,23.7
2025-12-20T04:00,23.5
2025-12-20T05:00,23.4
2025-12-20T06:00,23.3
2025-12-20T07:00,23.0
2025-12-20T08:00,22.8
2025-12-20T09:00,23.2
2025-12-20T10:00,24.5
2025-12-20T11:00,26.4
2025-12-20T12:00,28.3
2025-12-20T13:00,30.0
2025-12-20T14:00,31.6
2025-12-20T15:00,33.2
2025-12-20T16:00,34.8
2025-12-20T17:00,36.3
2025-12-20T18:00,37.2
2025-12-20T19:00,37.1
2025-12-20T20:00,36.3
2025-12-20T21:00,35.1
2025-12-20T22:00,33.1
2025-12-20T23:00,30.6
2025-12-21T00:00,28.7
2025-12-21T01:00,27.8
2025-12-21T02:00,27.4
2025-12-21T03:00,27.1
2025-12-21T04:00,26.8
2025-12-21T05:00,26.6
2025-12-21T06:00,26.3
2025-12-21T07:00,26.1
2025-12-21T08:00,25.8
2025-12-21T09:00,25.4
2025-12-21T10:00,24.9
2025-12-21T11:00,24.3
2025-12-21T12:00,23.8
2025-12-21T13:00,23.7
2025-12-21T14:00,23.7
2025-12-21T15:00,24.0
2025-12-21T16:00,24.6
2025-12-21T17:00,25.4
2025-12-21T18:00,26.0
2025-12-21T19:00,26.0
2025-12-21T20:00,25.8
2025-12-21T21:00,25.5
2025-12-21T22:00,25.3
2025-12-21T23:00,25.1
